Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C100, C104, C106, C107, C13, C14, C2, C25, C27, C3, C33, C34, C35, C36, C37, C38, C40, C44, C45, C46, C47, C48, C49, C50, C51, C52, C53, C55, C57, C59, C67, C68, C69, C70, C71, C72, C73, C74, C78, C83, C90, C93, C94, C95, C96, C97, C98",0402,48,100n,C307331
"C10, C81, C85, C9",0402,4,22n,C1532
"C101, C102, C16, C28, C30, C8, C84",1206,7,47u 10V,C96123
"C103, C19, C20, C39, C41, C42, C43, C80",0402,8,1u,C52923
C105,0603,1,47n,C1622
"C11, C12, C15, C17",0805,4,22u,C45783
"C18, C26",0603,2,10u,C96446
C21,0402,1,150p,C1527
"C22, C54, C56, C58, C60, C61",0402,6,10n,C15195
"C23, C31, C32, C62, C63, C64, C65, C66, C75, C76, C77, C79, C99",0402,13,4u7 10V,C23733
C24,0402,1,220n 16V,C16772
C29,0402,1,1n,C1523
C82,0603,1,68n,C31658
"C86, C87",0402,2,33p,C1562
"C88, C91, C92",0402,3,2u2 6.3V,C12530
"D1, D12, D2, D3, D5",D_SMA,5,SS54,C22452
"D10, D6, D8, D9",0603,4,LED_RED,C2286
"D11, D7",0603,2,LED_GRN,C2986059
"D13, D14",D_SOD-323,2,1N4148WS,C2128
D4,D_SOD-123F,1,SM4007,C64898
FB1,0603,1,600 200ma,C1002
J24,HDMI_A_Molex_208658-1001_Horizontal,1,NOT_HDMI_A,C138388
J25,TF-SMD_TF-PUSH,1,MICRO_SD,C393941
J26,USB-C_SMD-TYPE-C-31-M-12,1,USB1.1_HOST_TYPE_C,C165948
L1,IND-SMD_L12.5-W12.5,1,22uH,C2924827
Q1,SOT-23,1,MMBT3904,C20526
"Q2, Q3",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,2,AO3401A,C15127
"Q4, Q5, Q6",SOT-23,3,SS8050,C2150
Q7,SOT-23,1,SS8550,C8542
"R1, R15, R2, R3, R4, R40",0402,6,4k7,C25900
R10,0603,1,330,C23138
R11,0402,1,300,C25102
R12,0402,1,120,C25079
R13,0402,1,220,C25091
"R14, R16, R18, R19, R20, R25, R32, R33, R39, R62, R66, R70",0402,12,10k,C25744
"R17, R34, R35, R67, R69, R7",0402,6,1k5,C25867
"R21, R22, R23",0402,3,5k6,C25908
"R24, R28, R71",0402,3,100k,C25741
"R26, R36",0402,2,12k,C25752
"R27, R29, R41, R42, R43, R65, R74",0402,7,1k,C11702
"R30, R31, R38",0402,3,470,C25117
R37,0402,1,22k,C25768
"R44, R45, R48, R49, R50, R51, R52",0402,7,2k2,C25879
"R46, R47",0603,2,27,C25190
R5,0805,1,68,C17802
"R53, R54, R55, R56, R57, R58, R59, R60, R61",0603,9,270,C22966
"R6, R8",0603,2,0,C21189
"R63, R64",0402,2,56k,C25796
R68,0402,1,680,C25130
"R72, R73",0603,2,1,C22936
R9,0402,1,5k1,C25905
"RN1, RN10, RN14, RN15, RN16, RN4, RN5, RN8, RN9",R_Array_Convex_4x0603,9,10kx4,C29718
"RN11, RN12, RN13",R_Array_Convex_4x0603,3,470x4,C25510
"RN2, RN3, RN6, RN7",R_Array_Convex_4x0603,4,4k7x4,C1980
U10,LQFP-144_20x20mm_P0.5mm,1,T20Q144C3,C3278392
"U14, U15, U16",SOIC-14_3.9x8.7mm_P1.27mm,3,SN74LS07,C513513
"U17, U18",SOIC-20W_7.5x12.8mm_P1.27mm,2,74LS245,C129580
U19,SOIC-16_3.9x9.9mm_P1.27mm,1,74LS145,C60829
U21,LQFN-56_L7.0-W7.0-P0.4-EP,1,RP2040,C2040
U22,SOIC-8_5.23x5.23mm_P1.27mm,1,W25Q128JVS,C97521
U3,SOT-223-3_TabPin2,1,TLV1117LV33,C15578
"U4, U5",TO-252-2,2,LM317AG-TN3-R,C75510
U6,TI_SO-PowerPAD-8_ThermalVias,1,TPS5430DDA,C9864
"U7, U8, U9",TSSOP-24_4.4x7.8mm_P0.65mm,3,SN74LVC4245APWR,C7859
Y1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,12 MHz,C9002
