Designator,Mid X,Mid Y,Rotation,Layer
C1,334.06,-160.24,0.0,top
C10,118.9,-171.03,270.0,top
C100,212.0804,-128.763,180.0,top
C101,334.32,-153.17,90.0,top
C102,341.04,-177.26,270.0,top
C103,342.7,-176.55,270.0,top
C104,253.549,-117.383,0.0,top
C105,328.840001,-128.429999,270.0,top
C106,333.05,-127.49,180.0,top
C107,331.56,-132.88,90.0,top
C11,300.5285,-100.422,270.0,top
C12,101.55,-119.715,0.0,top
C13,119.76,-150.045,0.0,top
C14,291.04,-100.01,0.0,top
C15,101.549999,-121.74,0.0,top
C16,310.01,-106.32,90.0,top
C17,101.549999,-123.765,0.0,top
C18,101.375,-125.54,0.0,top
C19,120.2,-158.75,270.0,top
C2,334.83,-158.12,270.0,top
C20,290.22,-109.4198,90.0,top
C21,106.955,-132.65,180.0,top
C22,97.465,-133.739999,180.0,top
C23,273.7175,-134.828,90.0,top
C24,106.030001,-131.624999,180.0,top
C25,273.49,-153.66,270.0,top
C26,108.12909,-137.853017,270.0,top
C27,298.3,-153.67,270.0,top
C28,110.077563,-137.278016,270.0,top
C29,105.52,-133.13,90.0,top
C3,329.8571,-160.817,0.0,top
C30,112.452563,-137.274999,270.0,top
C31,281.79,-103.64,180.0,top
C32,209.6,-120.1,180.0,top
C33,209.6029,-121.113,180.0,top
C34,209.6804,-132.913,180.0,top
C35,248.3,-162.03,90.0,top
C36,203.9779,-121.1131,0.0,top
C37,204.0004,-132.913,0.0,top
C38,239.04,-162.835,270.0,top
C39,287.34,-159.97,270.0,top
C40,301.13,-134.19,0.0,top
C41,279.83,-129.37,90.0,top
C42,277.59,-128.78,180.0,top
C43,296.36,-159.97,270.0,top
C44,285.27,-159.97,270.0,top
C45,287.41,-129.37,90.0,top
C46,301.13,-147.56,0.0,top
C47,301.13,-141.578,0.0,top
C48,288.39,-129.368,90.0,top
C49,280.83,-129.37,90.0,top
C50,270.59,-147.775,180.0,top
C51,295.32,-159.97,270.0,top
C52,284.78,-129.37,90.0,top
C53,270.59,-143.61,180.0,top
C54,286.305676,-159.97,270.0,top
C55,270.59,-146.75,180.0,top
C56,301.13,-142.95,0.0,top
C57,283.635,-159.97,270.0,top
C58,270.59,-141.77,180.0,top
C59,301.13,-148.54,0.0,top
C6,300.0,-163.87,90.0,top
C60,294.28,-159.97,270.0,top
C61,281.83,-129.37,90.0,top
C62,314.775,-129.23,90.0,top
C63,263.85,-178.39,270.0,top
C64,286.7,-177.43,90.0,top
C65,253.549,-113.27,180.0,top
C66,267.125,-111.675,270.0,top
C67,141.0904,-159.7268,270.0,top
C68,183.29,-158.768,90.0,top
C69,162.0904,-159.728,270.0,top
C70,138.6179,-114.0844,270.0,top
C71,125.8407,-138.9851,90.0,top
C72,138.6179,-149.723,270.0,top
C73,127.6714,-101.0,90.0,top
C74,128.2507,-127.15,0.0,top
C75,133.15,-100.45,90.0,top
C76,271.27,-100.9,0.0,top
C77,164.62,-168.55,0.0,top
C78,209.7486,-174.797,270.0,top
C79,205.29,-178.8439,0.0,top
C8,340.5075,-127.37,90.0,top
C80,333.17,-138.33,90.0,top
C81,335.25,-138.359999,90.0,top
C82,328.065001,-130.75,0.0,top
C83,330.090001,-128.91,270.0,top
C84,342.87,-127.37,90.0,top
C85,114.165,-171.03,90.0,top
C86,314.9346,-157.942,0.0,top
C87,312.3046,-160.167,270.0,top
C88,346.22,-183.907,90.0,top
C9,123.635,-171.03,90.0,top
C90,317.3246,-163.75,180.0,top
C91,327.7096,-165.07,270.0,top
C92,328.2071,-167.992,0.0,top
C93,322.63,-168.86,315.0,top
C94,321.8371,-156.86,90.0,top
C95,329.8571,-161.792,0.0,top
C96,315.8846,-163.19,270.0,top
C97,328.2071,-166.942,0.0,top
C98,325.88,-157.517,90.0,top
C99,309.85,-177.86,180.0,top
D1,111.7975,-171.292,270.0,top
D10,151.71,-169.8,0.0,top
D11,351.86,-166.66,180.0,top
D12,336.19,-172.16,135.0,top
D13,335.27,-133.58,90.0,top
D14,337.9,-135.85,180.0,top
D2,121.2675,-171.292,270.0,top
D3,116.5325,-171.292,270.0,top
D4,289.5321,-104.1648,270.0,top
D5,96.495,-129.674999,270.0,top
D6,94.6,-187.1402,0.0,top
D7,301.8405,-157.4,0.0,top
D8,301.7905,-160.2,0.0,top
D9,315.9,-100.6,0.0,top
FB1,271.71,-134.998,180.0,top
J24,319.9,-182.022,0.0,top
J25,342.1858,-157.000,90.0,top
J26,349.3611,-173.675,90.0,top
L1,99.930617,-141.088024,180.0,top
Q1,301.6525,-126.74,180.0,top
Q2,333.3875,-98.4801,180.0,top
Q3,157.4135,-165.75,180.0,top
Q4,329.0875,-134.34,0.0,top
Q5,342.12,-132.92,180.0,top
Q6,334.53,-129.9875,270.0,top
Q7,338.21,-132.92,0.0,top
R1,212.0404,-113.523,180.0,top
R10,312.704999,-107.795001,0.0,top
R11,121.2567,-157.32,90.0,top
R12,298.44,-108.5548,90.0,top
R13,107.02,-130.55,0.0,top
R14,104.524994,-131.115,90.0,top
R15,105.549994,-130.095002,90.0,top
R16,104.524994,-133.159999,90.0,top
R17,126.32,-170.93,270.0,top
R18,294.82,-121.88,0.0,top
R19,294.82,-118.94,0.0,top
R2,212.0404,-122.938,0.0,top
R20,294.82,-120.41,0.0,top
R21,292.6,-121.88,180.0,top
R22,292.6,-118.94,180.0,top
R23,292.6,-120.41,180.0,top
R24,301.13,-133.1808,0.0,top
R25,301.13,-137.76,0.0,top
R26,301.13,-135.195,180.0,top
R27,310.13,-164.3,270.0,top
R28,299.19,-125.280001,90.0,top
R29,309.13,-164.3,270.0,top
R3,212.0404,-118.608,0.0,top
R30,139.0879,-156.708,0.0,top
R31,139.0879,-157.978,0.0,top
R32,311.5875,-95.07,90.0,top
R33,165.324,-175.5219,180.0,top
R34,336.0525,-99.427,270.0,top
R35,160.05,-166.190013,270.0,top
R36,334.21,-138.33,270.0,top
R37,329.0875,-136.64,180.0,top
R38,182.8279,-154.168,0.0,top
R39,311.13,-164.3,90.0,top
R4,232.599,-110.983,180.0,top
R40,308.13,-164.3,90.0,top
R41,307.13,-164.3,90.0,top
R42,317.5071,-162.417,0.0,top
R43,349.84,-167.02,90.0,top
R44,318.9,-142.275,270.0,top
R45,318.9,-144.55,270.0,top
R46,329.7321,-163.057,0.0,top
R47,329.7271,-164.592,0.0,top
R48,317.84,-141.255,90.0,top
R49,317.86,-143.7931,90.0,top
R5,98.375,-99.48,0.0,top
R50,313.14,-169.65,270.0,top
R51,313.24,-174.5365,0.0,top
R52,313.24,-175.58,0.0,top
R53,326.95,-172.85,270.0,top
R54,325.4,-172.85,270.0,top
R55,323.8616,-172.8533,270.0,top
R56,322.3116,-172.8533,270.0,top
R57,320.75,-172.85,270.0,top
R58,319.2,-172.85,270.0,top
R59,317.6614,-172.86,270.0,top
R6,312.704999,-104.085,180.0,top
R60,316.1114,-172.85,270.0,top
R61,314.47,-170.9865,270.0,top
R62,338.9125,-167.417,90.0,top
R63,345.06,-175.97,90.0,top
R64,345.06,-171.17,270.0,top
R65,328.96,-149.36,0.0,top
R66,328.96,-150.36,0.0,top
R67,327.110002,-129.49,180.0,top
R68,330.539999,-130.75,180.0,top
R69,327.110002,-128.429999,180.0,top
R7,123.4,-157.32,270.0,top
R70,332.05,-134.34,180.0,top
R71,338.049999,-127.65,180.0,top
R72,337.025,-129.67,90.0,top
R73,338.555001,-129.67,270.0,top
R74,333.070001,-132.5275,0.0,top
R8,312.704999,-105.604998,180.0,top
R9,122.3367,-157.32,270.0,top
RN1,136.0735,-97.567,90.0,top
RN10,252.909,-163.71,270.0,top
RN11,139.6079,-117.901,90.0,top
RN12,139.6079,-122.971,90.0,top
RN13,139.6079,-153.531,90.0,top
RN14,189.57,-178.942,180.0,top
RN15,199.73,-178.942,180.0,top
RN16,341.2875,-167.492,0.0,top
RN2,139.9343,-97.567,90.0,top
RN3,143.1097,-97.567,270.0,top
RN4,146.9705,-97.567,270.0,top
RN5,175.8177,-97.567,90.0,top
RN6,182.8539,-97.567,270.0,top
RN7,179.6785,-97.567,90.0,top
RN8,186.7147,-97.567,270.0,top
RN9,296.53,-131.0,270.0,top
U10,285.885,-144.7,90.0,top
U14,131.5807,-132.0273,0.0,top
U15,131.5807,-141.9401,0.0,top
U16,131.4814,-106.313,0.0,top
U17,131.5807,-119.1644,270.0,top
U18,131.5307,-154.803,270.0,top
U19,216.0089,-176.792,0.0,top
U21,323.0521,-162.627,270.0,top
U22,330.225,-155.54,180.0,top
U3,305.2,-104.64,90.0,top
U4,116.0620,-154.19,180.0,top
U5,294.2521,-105.1628,270.0,top
U6,101.239994,-130.574999,90.0,top
U7,206.8404,-125.863,270.0,top
U8,206.8404,-137.6486,270.0,top
U9,243.8819,-166.085,270.0,top
Y1,314.9346,-160.167,180.0,top
